Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts
"Auguste,  Tatiana",Terrebonne,Liberal,46503.56,16687.17,881.83,17169.76
"Baber,  Roman",York Centre,Conservative,78049,18130.4,3109.98,42647.44
"Bachrach,  Taylor",Skeena—Bulkley Valley,New Democratic Party,6229.08,0,0,141.92
"Badawey,  Vance",Niagara Centre,Liberal,4716.73,0,0,166.24
"Bailey,  Burton",Red Deer,Conservative,68463.77,31049.37,1741.57,29858.19
"Bains,  Parm",Richmond East—Steveston,Liberal,88117.21,30665.03,9059.42,47940.98
"Baker,  Yvan",Etobicoke Centre,Liberal,70378.71,27077.55,5109.42,19533.54
"Baldinelli,  Tony",Niagara Falls—Niagara-on-the-Lake,Conservative,86175.22,18970.3,519.41,25315.3
"Bardeesy,  Karim",Taiaiako'n—Parkdale—High Park,Liberal,92069.7,24780.41,893.67,29950.16
"Barlow,  John",Foothills,Conservative,115775.48,17921.81,860.51,16987.67
"Barrett,  Michael",Leeds—Grenville—Thousand Islands—Rideau Lakes,Conservative,103791.09,5780.18,69.86,20731.71
"Barron,  Lisa Marie",Nanaimo—Ladysmith,New Democratic Party,6783.37,1926.52,0,666.62
"Barsalou-Duval,  Xavier",Pierre-Boucher—Les Patriotes—Verchères,Bloc Québécois,92959.6,14837.91,2562.29,33826.17
"Battiste,  Jaime",Cape Breton—Canso—Antigonish,Liberal,117304.28,13900.77,718.37,18321.11
"Beaulieu,  Mario",La Pointe-de-l'Île,Bloc Québécois,53505.9,6534.07,1737.58,39886.75
"Beech, Hon. Terry",Burnaby North—Seymour,Liberal,91634.64,59081.08,1227.64,28548.46
"Belanger, Hon. Buckley",Desnethé—Missinippi—Churchill River,Liberal,61716.6,30170.91,1671.15,18459.99
"Bélanger,  Jim",Sudbury East—Manitoulin—Nickel Belt,Conservative,68150.65,12467.69,119.3,30655.8
"Bendayan, Hon. Rachel",Outremont,Liberal,74448.64,3301.61,263.75,34849.3
"Bergeron,  Stéphane",Montarville,Bloc Québécois,3922.88,245.42,0,135.14
"Berthold,  Luc",Mégantic—L'Érable—Lotbinière,Conservative,94705,13184.75,328.22,28472.33
"Bérubé,  Sylvie",Abitibi—Baie-James—Nunavik—Eeyou,Bloc Québécois,4463.4,0,0,27.73
"Bexte,  David",Bow River,Conservative,60046.76,16655.71,135.57,58160.51
"Bezan,  James",Selkirk—Interlake—Eastman,Conservative,110361.16,31572.72,561.75,22458.4
"Bibeau, Hon. Marie-Claude",Compton—Stanstead,Liberal,128.75,0,0,48.74
"Bittle,  Chris",St. Catharines,Liberal,126719.51,27739.81,2066.26,14064.58
"Blair, Hon. Bill",Scarborough Southwest,Liberal,100497.05,11107.2,1598,16104.83
"Blanchet,  Yves-François",Beloeil—Chambly,Bloc Québécois,78255.4,11199.98,440.55,38359.52
"Blanchette-Joncas,  Maxime",Rimouski—La Matapédia,Bloc Québécois,85097.76,30179.33,199.86,53972.16
"Blaney,  Rachel",North Island—Powell River,New Democratic Party,5283.98,0,0,6396.76
"Blois, Hon. Kody",Kings—Hants,Liberal,97449.75,35687.41,1003.51,18922.73
"Boissonnault, Hon. Randy",Edmonton Centre,Liberal,3219.85,5126.24,0,70.52
"Bonin,  Patrick",Repentigny,Bloc Québécois,93912.87,10610.17,1806.58,31232.74
"Bonk,  Steven",Souris—Moose Mountain,Conservative,47444.9,14889.87,0,21574.57
"Borrelli,  Kathy",Windsor—Tecumseh—Lakeshore,Conservative,57539.3,21582.27,0,15442.67
"Boulerice,  Alexandre",Rosemont—La Petite-Patrie,New Democratic Party,67058.62,12544.3,213,23537.57
"Bradford,  Valerie",Kitchener South—Hespeler,Liberal,3684.29,0,0,439.18
"Bragdon,  Richard",Tobique—Mactaquac,Conservative,81439.26,32824.59,524.87,18378.76
"Brassard,  John",Barrie South—Innisfil,Conservative,99034.28,15838.67,3556.05,39421.88
"Brière, Hon. Élisabeth",Sherbrooke,Liberal,75868.35,9231.06,1072.41,32497.43
"Brock,  Larry",Brantford—Brant South—Six Nations,Conservative,87166.43,47052.13,1880.28,17296.61
"Brunelle-Duceppe,  Alexis",Lac-Saint-Jean,Bloc Québécois,87297.13,16126.34,1271.79,30226.03
"Calkins,  Blaine",Ponoka—Didsbury,Conservative,100503.95,28541.75,181.5,17783.58
"Cannings,  Richard",South Okanagan—West Kootenay,New Democratic Party,7944.45,0,0,8.39
"Caputo,  Frank",Kamloops—Thompson—Nicola,Conservative,107669.85,60839.82,90,17228.89
"Carr,  Ben",Winnipeg South Centre,Liberal,91504.91,27117.15,319,23829.71
"Carrie,  Colin",Oshawa,Conservative,4369.47,0,0,173.08
"Casey,  Sean",Charlottetown,Liberal,89803.75,13855.3,1052.74,34080.77
"Chabot,  Louise",Thérèse-De Blainville,Bloc Québécois,2941.42,0,0,1185.69
"Chagger, Hon. Bardish",Waterloo,Liberal,61942.53,12010.77,620.46,22819.31
"Chahal,  George",Calgary Skyview,Liberal,2947.66,1173.97,0,38.16
"Chambers,  Adam",Simcoe North,Conservative,83572.03,5802.48,3282.51,27351.62
"Champoux,  Martin",Drummond,Bloc Québécois,73647.8,11444.58,2181.95,31391.88
"Chang,  Wade",Burnaby Central,Liberal,52366.6,40108.55,1087.07,78773.53
"Chartrand, Hon. Rebecca",Churchill—Keewatinook Aski,Liberal,64436.41,28988.85,0,8330.91
"Chatel,  Sophie",Pontiac—Kitigan Zibi,Liberal,107851.16,8358.94,2322.74,33234.43
"Chen,  Shaun",Scarborough North,Liberal,84370.98,13630.32,0,16341.42
"Chenette,  Madeleine",Thérèse-De Blainville,Liberal,76160.53,14304.62,200,12106.54
"Chi,  Maggie",Don Valley North,Liberal,82524.91,20552.3,2307,6605.95
"Chiang,  Paul",Markham—Unionville,Liberal,3737.34,0,0,323.75
"Chong, Hon. Michael",Wellington—Halton Hills North,Conservative,104393.56,16091.21,0,13008.4
"Church,  Leslie",Toronto—St. Paul's,Liberal,64657.39,11188.74,1186,18145.27
"Clark,  Braedon",Sackville—Bedford—Preston,Liberal,67080.65,14991.2,0,24664.16
"Cobena,  Sandra",Newmarket—Aurora,Conservative,65421.13,7079.29,1068.85,28647.37
"Cody,  Connie",Cambridge,Conservative,51717.07,17243.81,578.18,24819.62
"Collins,  Chad",Hamilton East—Stoney Creek,Liberal,1686.6,0,0,6.97
"Collins,  Laurel",Victoria,New Democratic Party,7951.84,0,0,13487.71
"Connors,  Paul",Avalon,Liberal,85255.09,25927.77,246.64,16539.79
"Cooper,  Michael",St. Albert—Sturgeon River,Conservative,91740.43,34086.73,2846.41,24044.87
"Cormier,  Serge",Acadie—Bathurst,Liberal,87795.21,18068.92,1610.4,13851.59
"Coteau,  Michael",Scarborough—Woburn,Liberal,78193.88,11563.71,393.06,28193.99
"d'Entremont,  Chris",Acadie—Annapolis,Conservative,86230.01,22850.23,1929.84,33300.32
"Dabrusin, Hon. Julie",Toronto—Danforth,Liberal,99609.53,22926.57,0,20889.39
"Dalton,  Marc",Pitt Meadows—Maple Ridge,Conservative,75166.99,10699.84,2070.81,28639.14
"Damoff,  Pam",Oakville North—Burlington,Liberal,6231.84,0,0,6.71
"Dancho,  Raquel",Kildonan—St. Paul,Conservative,92277.07,17297.16,1214.57,26363.31
"Dandurand,  Marianne",Compton—Stanstead,Liberal,59125.07,12380.03,356.06,39499.26
"Danko,  John-Paul",Hamilton West—Ancaster—Dundas,Liberal,67157.39,13912.52,267.58,12596.81
"Davidson,  Scot",New Tecumseth—Gwillimbury,Conservative,80629.46,10916.03,6928.47,37808.01
"Davies,  Don",Vancouver Kingsway,New Democratic Party,73598.15,19352.29,6717.23,37612.11
"Davies,  Fred",Niagara South,Conservative,82673.26,23873.07,64.83,25945.39
"Dawson,  Mike",Miramichi—Grand Lake,Conservative,74371.83,7731.61,1297.28,20082.17
"DeBellefeuille,  Claude",Beauharnois—Salaberry—Soulanges—Huntingdon,Bloc Québécois,91174.37,8707.21,3375.61,33095.92
"Deltell,  Gérard",Louis-Saint-Laurent—Akiawenhrahk,Conservative,87928.55,7867.28,0,22873.38
"DeRidder,  Kelly",Kitchener Centre,Conservative,51003.5,10146.31,3055.46,36075.31
"Desbiens,  Caroline",Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Bloc Québécois,5585.66,497.6,0,1203.76
"Deschênes,  Alexis",Gaspésie—Les Îles-de-la-Madeleine—Listuguj,Bloc Québécois,45590.03,48870.05,0,43365.27
"Deschênes-Thériault,  Guillaume",Madawaska—Restigouche,Liberal,98602.59,22956.34,1590.18,23622.59
"Desilets,  Luc",Rivière-des-Mille-Îles,Bloc Québécois,5165.01,0,0,79.75
"Desjarlais,  Blake",Edmonton Griesbach,New Democratic Party,6580.42,3206.71,0,581.18
"Desrochers,  Caroline",Trois-Rivières,Liberal,76769.21,15285.34,130,33616.9
"Dhaliwal,  Sukh",Surrey Newton,Liberal,85885.1,17108.44,456.47,41771.98
"Dhillon,  Anju",Dorval—Lachine—LaSalle,Liberal,45945.04,16569.13,159.3,21687.9
"Diab, Hon. Lena Metlege",Halifax West,Liberal,70733.42,31135.14,579.07,21291.66
"Diotte,  Kerry",Edmonton Griesbach,Conservative,60946.73,17259.84,152.47,16826.5
"Doherty,  Todd",Cariboo—Prince George,Conservative,120476.86,35261.07,830.17,13703.6
"Dong,  Han",Don Valley North,Independent,2402.9,0,0,29.44
"Dowdall,  Terry",Simcoe—Grey,Conservative,76125.79,9326.83,1022.42,80332.35
"Dreeshen,  Earl",Red Deer—Mountain View,Conservative,3056.54,2505.03,0,9096.74
"Drouin,  Francis",Glengarry—Prescott—Russell,Liberal,0,0,0,52.13
"Dubourg,  Emmanuel",Bourassa,Liberal,2708.67,0,0,375.93
"Duclos, Hon. Jean-Yves",Québec Centre,Liberal,92820.35,22581.36,866.71,34584.06
"Duguid, Hon. Terry",Winnipeg South,Liberal,86037.45,12247.41,66.24,21371.1
"Duncan,  Eric",Stormont—Dundas—Glengarry,Conservative,88252.43,10304.44,1634.54,20851.82
"Duncan, Hon. Kirsty",Etobicoke North,Liberal,4159,0,0,59.5
"Dzerowicz,  Julie",Davenport,Liberal,52179.48,19835.53,1647.2,27866.42
"Ehsassi, Hon. Ali",Willowdale,Liberal,72602.55,18590.67,1070,22913.81
"El-Khoury,  Fayçal",Laval—Les Îles,Liberal,68766.81,7436.68,489.2,29400.55
"Ellis,  Stephen",Cumberland—Colchester,Conservative,5509.06,530.19,0,380.32
"Epp,  Dave",Chatham-Kent—Leamington,Conservative,90692.46,28401.06,1073.79,19650.87
"Erskine-Smith, Hon. Nathaniel",Beaches—East York,Liberal,77960.67,4945.15,0,22347.81
"Eyolfson,  Doug",Winnipeg West,Liberal,50588.24,25348.14,0,11044.74
"Falk,  Rosemarie",Battlefords—Lloydminster—Meadow Lake,Conservative,58770.54,19258.49,440.6,44937.24
"Falk,  Ted",Provencher,Conservative,75799.63,8335.08,1089.16,24941.06
"Fancy,  Jessica",South Shore—St. Margarets,Liberal,47386.37,19518.72,199.52,13331.26
"Fanjoy,  Bruce",Carleton,Liberal,56708.05,1589.85,1524.46,27567.27
"Fast, Hon. Ed",Abbotsford,Conservative,6688.9,0,75.97,9069.34
"Fergus, Hon. Greg",Hull—Aylmer,Liberal,63289.94,1253.88,1782.11,31652.95
"Ferreri,  Michelle",Peterborough—Kawartha,Conservative,4571.07,0,0,166.61
"Fisher, Hon. Darren",Dartmouth—Cole Harbour,Liberal,67778.27,14237.12,100,15139.98
"Fonseca,  Peter",Mississauga East—Cooksville,Liberal,55393.4,18162.49,1345.77,22378.04
"Fortier, Hon. Mona",Ottawa—Vanier—Gloucester,Liberal,108957.15,4681.88,930.04,19462.91
"Fortin,  Rhéal Éloi",Rivière-du-Nord,Bloc Québécois,78029.84,14756.53,5760.46,32079.07
"Fragiskatos,  Peter",London Centre,Liberal,113799.52,11361.58,0,29638.62
"Fraser, Hon. Sean",Central Nova,Liberal,80584.35,9842.28,277.87,32650.84
"Freeland, Hon. Chrystia",University—Rosedale,Liberal,84481.66,13297.14,3857.85,21610.26
"Fry, Hon. Hedy",Vancouver Centre,Liberal,88293.91,26341.42,4346.93,36850.82
"Fuhr, Hon. Stephen",Kelowna,Liberal,81254.78,18802.68,825.64,24294.92
"Gaheer,  Iqwinder",Mississauga—Malton,Liberal,86484.78,31012.77,3236.75,20946.81
"Gainey, Hon. Anna",Notre-Dame-de-Grâce—Westmount,Liberal,91176.38,4443.09,269.21,16731.71
"Gallant,  Cheryl",Algonquin—Renfrew—Pembroke,Conservative,112512.08,7419.9,0,17999.48
"Garon,  Jean-Denis",Mirabel,Bloc Québécois,88973.34,9500.01,2974.21,35805.78
"Garrison,  Randall",Esquimalt—Saanich—Sooke,New Democratic Party,0,0,0,29.75
"Gasparro,  Vince",Eglinton—Lawrence,Liberal,93075.18,6238.73,5890.99,39043.63
"Gaudreau,  Marie-Hélène",Laurentides—Labelle,Bloc Québécois,92434.6,20314.85,2031.8,27359.57
"Gazan,  Leah",Winnipeg Centre,New Democratic Party,91360.71,26180.8,3509.82,24226.02
"Généreux,  Bernard",Côte-du-Sud—Rivière-du-Loup—Kataskomiq—Témiscouata,Conservative,78776.53,15448.87,478.52,35572.85
"Genuis,  Garnett",Sherwood Park—Fort Saskatchewan,Conservative,109029.52,21494.2,1378.64,15030.04
"Gerretsen, Hon. Mark",Kingston and the Islands,Liberal,101989.92,12774.63,5689.05,20367.23
"Gill,  Amanpreet",Calgary Skyview,Conservative,64009.6,24681.72,3056.85,18732.16
"Gill,  Amarjeet",Brampton West,Conservative,49080.56,17831.19,0,31336.62
"Gill,  Dalwinder",Calgary McKnight,Conservative,67980.57,0,4465.69,51636.32
"Gill,  Harb",Windsor West,Conservative,41674.36,6681.49,74.18,17525.91
"Gill,  Marilène",Côte-Nord—Kawawachikamach—Nitassinan,Bloc Québécois,77099.36,25266.44,450,47449.03
"Gill,  Sukhman",Abbotsford—South Langley,Conservative,44641.19,14443.34,0,40087.41
"Gladu,  Marilyn",Sarnia—Lambton—Bkejwanong,Conservative,97861.74,7813.08,50,24263.49
"Godin,  Joël",Portneuf—Jacques-Cartier,Conservative,48201.79,4327.25,728.51,46404.06
"Goodridge,  Laila",Fort McMurray—Cold Lake,Conservative,80904.73,11179.62,0,19892.44
"Gould, Hon. Karina",Burlington,Liberal,90286.57,14895.58,478.05,25009.01
"Gourde,  Jacques",Lévis—Lotbinière,Conservative,80556.78,10206.75,2497.4,50754.84
"Grant,  Wade",Vancouver Quadra,Liberal,73328.8,43280.22,368.73,43765.82
"Gray,  Tracy",Kelowna—Lake Country,Conservative,1740.86,2445.26,0,451.54
"Greaves,  Will",Victoria,Liberal,68741.44,33523.64,646.15,36465.78
"Green,  Matthew",Hamilton Centre,New Democratic Party,7412.64,0,0,906.87
"Groleau,  Jason",Beauce,Conservative,82117.22,15822.1,777.96,37314.55
"Guay,  Claude",LaSalle—Émard—Verdun,Liberal,89201.94,16912.75,44.15,46381.18
"Guglielmin,  Michael",Vaughan—Woodbridge,Conservative,56430.06,10830.2,0,30847.42
"Guilbeault, Hon. Steven",Laurier—Sainte-Marie,Liberal,106936.01,5400,53.35,11281.01
"Gull-Masty, Hon. Mandy",Abitibi—Baie-James—Nunavik—Eeyou,Liberal,41579.66,13405.73,0,24939.14
"Gunn,  Aaron",North Island—Powell River,Conservative,48902.04,29332.16,0,20485.55
"Hajdu, Hon. Patty",Thunder Bay—Superior North,Liberal,107970.7,19651.02,343.8,29386.98
"Hallan,  Jasraj",Calgary East,Conservative,93371.45,32221.16,166.48,22915.33
"Hanley,  Brendan",Yukon,Liberal,98664.52,31992.01,438.4,25580.81
"Hardie,  Ken",Fleetwood—Port Kells,Liberal,6672.68,0,0,220.06
"Hardy,  Gabriel",Montmorency—Charlevoix,Conservative,81670.16,16159.63,0,25064.62
"Harrison,  Emma",Peterborough,Liberal,81838.47,14996.46,362,14898.96
"Hepfner,  Lisa",Hamilton Mountain,Liberal,92385.89,13662.95,377.96,19244.22
"Hirtle,  Alana",Cumberland—Colchester,Liberal,59544.57,24410.17,635.49,14407.82
"Ho,  Vincent",Richmond Hill South,Conservative,70954.05,24140.94,4027.07,67376.65
"Hoback,  Randy",Prince Albert,Conservative,106736.65,30049.43,4120.87,24503.08
"Hodgson, Hon. Tim",Markham—Thornhill,Liberal,90934.87,16498.06,475.33,28615.26
"Hogan,  Corey",Calgary Confederation,Liberal,57324.55,26339.35,0,12857.95
"Holland, Hon. Mark",Ajax,Liberal,6714.46,0,0,3004.15
"Holman,  Kurt",London—Fanshawe,Conservative,69232.53,11344.56,396.12,38608.76
"Housefather,  Anthony",Mount Royal,Liberal,105575.89,3771.1,83.17,39904.26
"Hughes,  Carol",Algoma—Manitoulin—Kapuskasing,New Democratic Party,7270.91,0,0,65.41
"Hussen, Hon. Ahmed",York South—Weston—Etobicoke,Liberal,95254.52,27912.98,0,26496.98
"Hutchings, Hon. Gudie",Long Range Mountains,Liberal,8374.69,0,0,1811.23
"Iacono,  Angelo",Alfred-Pellan,Liberal,89458.57,11689.82,1961.68,40484.76
"Idlout,  Lori",Nunavut,New Democratic Party,81696.8,75394.51,1137.79,41668.19
"Ien, Hon. Marci",Toronto Centre,Liberal,2625.73,0,0,3105.5
"Jackson,  Grant",Brandon—Souris,Conservative,70357.3,22135.65,2183.48,26070.15
"Jaczek, Hon. Helena",Markham—Stouffville,Liberal,96687.86,12091.18,9538.11,19319.01
"Jansen,  Tamara",Cloverdale—Langley City,Conservative,77471.91,20733.72,211.52,28572.88
"Jeneroux,  Matt",Edmonton Riverbend,Conservative,71989.49,48605.08,747.92,28733.44
"Jivani,  Jamil",Bowmanville—Oshawa North,Conservative,118909.63,12512.42,1852.56,22820.77
"Johns,  Gord",Courtenay—Alberni,New Democratic Party,106606.61,20804.08,1094.23,19718.23
"Joly, Hon. Mélanie",Ahuntsic-Cartierville,Liberal,93429.63,5100,0,22171.39
"Jones,  Yvonne",Labrador,Liberal,6334.32,0,0,551.01
"Joseph,  Natilien",Longueuil—Saint-Hubert,Liberal,103790.45,18250.78,5746.82,45955.81
"Jowhari,  Majid",Richmond Hill,Liberal,2361.42,0,0,691.58
"Julian,  Peter",New Westminster—Burnaby,New Democratic Party,7276.58,0,0,4741.45
"Kayabaga, Hon. Arielle",London West,Liberal,75828.9,29409.18,4904.02,32555.72
"Kelloway,  Mike",Sydney—Glace Bay,Liberal,97145.74,13367.43,273.66,13125.18
"Kelly,  Pat",Calgary Crowfoot,Conservative,89129.98,16643.74,0,16174.98
"Khalid,  Iqra",Mississauga—Erin Mills,Liberal,64820.48,19523.22,324.81,46105.32
"Khanna,  Arpan",Oxford,Conservative,84013.92,14497.99,0,15848.55
"Khera, Hon. Kamal",Brampton West,Liberal,5022.81,25119.9,0,3107.41
"Kibble,  Jeff",Cowichan—Malahat—Langford,Conservative,68961.69,44864.3,235.31,39868.67
"Kirkland,  Rhonda",Oshawa,Conservative,70967.05,9979.41,359.15,43614.91
"Kitchen,  Robert",Souris—Moose Mountain,Conservative,1867.5,0,0,561.98
"Klassen,  Ernie",South Surrey—White Rock,Liberal,52928.56,43016.45,881.57,28125.06
"Kmiec,  Tom",Calgary Shepard,Conservative,80101.82,14704.59,274.05,26341.69
"Konanz,  Helena",Similkameen—South Okanagan—West Kootenay,Conservative,80496.78,23790.43,417.31,22773.03
"Koutrakis,  Annie",Vimy,Liberal,73200.04,17249.07,860.8,39670.56
"Kram,  Michael",Regina—Wascana,Conservative,88009.81,13087.11,545.5,17454.01
"Kramp-Neuman,  Shelby",Hastings—Lennox and Addington—Tyendinaga,Conservative,104357.08,9535.26,874.83,20272.88
"Kronis,  Tamara",Nanaimo—Ladysmith,Conservative,47945.43,29765.18,263.45,39776.98
"Kurek,  Damien",Battle River—Crowfoot,Conservative,9892.65,1115.63,0,5472.65
"Kuruc,  Ned",Hamilton East—Stoney Creek,Conservative,89769.84,11099.84,1402.45,60270.84
"Kusie,  Stephanie",Calgary Midnapore,Conservative,83970.36,16139.58,1188.57,14410.81
"Kusmierczyk,  Irek",Windsor—Tecumseh,Liberal,4206.65,6014.44,0,141.16
"Kwan,  Jenny",Vancouver East,New Democratic Party,73601.68,11737.46,1362.79,28347.59
"Lake, Hon. Mike",Leduc—Wetaskiwin,Conservative,113271,30174.94,463.05,19946.29
"Lalonde,  Marie-France",Orléans,Liberal,87625.49,11863.31,1463.48,17240.95
"Lambropoulos,  Emmanuella",Saint-Laurent,Liberal,87264.86,736.06,739.93,36570.55
"Lamoureux, Hon. Kevin",Winnipeg North,Liberal,68546.52,11408.86,449.71,32353.72
"Lantsman,  Melissa",Thornhill,Conservative,74609.59,21552.14,0,26066.62
"Lapointe,  Linda",Rivière-des-Mille-Îles,Liberal,57653.32,10007.91,250.36,51052.4
"Lapointe,  Viviane",Sudbury,Liberal,80657.74,16160.34,125,22172.92
"Larouche,  Andréanne",Shefford,Bloc Québécois,69679.29,10582.52,3415.77,51518.55
"Lattanzio,  Patricia",Saint-Léonard—Saint-Michel,Liberal,69218.21,7330.33,2944.75,28418.62
"Lauzon,  Stéphane",Argenteuil—La Petite-Nation,Liberal,92726.02,6010.33,359.78,25249.25
"Lavack,  Ginette",St. Boniface—St. Vital,Liberal,65754.69,10312.37,0,13695.95
"Lavoie,  Steeve",Beauport—Limoilou,Liberal,47568.08,16461.62,991.43,35861.49
"Lawrence,  Philip",Northumberland—Clarke,Conservative,91334.64,10793.77,229.9,28799.5
"Lawton,  Andrew",Elgin—St. Thomas—London South,Conservative,81704.37,26818.28,2547.91,20632.04
"LeBlanc, Hon. Dominic",Beauséjour,Liberal,101143.53,14452.01,2454.83,17420.54
"Lebouthillier, Hon. Diane",Gaspésie—Les Îles-de-la-Madeleine,Liberal,5045.69,0,0,929.73
"Lehoux,  Richard",Beauce,Conservative,4776.23,0,0,1305.96
"Leitão,  Carlos",Marc-Aurèle-Fortin,Liberal,87204.88,9690.62,0,19486.29
"Lemire,  Sébastien",Abitibi—Témiscamingue,Bloc Québécois,92422.98,16576.94,1169.09,24112.64
"Leslie,  Branden",Portage—Lisgar,Conservative,80742.56,27649.19,1523.57,22159.51
"Lewis,  Chris",Essex,Conservative,84734.41,12662.58,432.38,25986.15
"Lewis,  Leslyn",Haldimand—Norfolk,Conservative,98061.56,21882.09,0,15926.11
"Liepert,  Ron",Calgary Signal Hill,Conservative,5471.87,0,0,159.04
"Lightbound, Hon. Joël",Louis-Hébert,Liberal,61691.37,21341.92,332.56,21426.17
"Lloyd,  Dane",Parkland,Conservative,93630.43,23534.67,8786.89,33603.02
"Lobb,  Ben",Huron—Bruce,Conservative,100428.88,8693.72,180,25067.78
"Long, Hon. Wayne",Saint John—Kennebecasis,Liberal,64854.33,13629.77,103.74,27565.81
"Longfield,  Lloyd",Guelph,Liberal,1609.94,941.5,0,0
"Louis,  Tim",Kitchener—Conestoga,Liberal,94438.14,9290.58,0,36635.38
"Ma,  Michael",Markham—Unionville,Conservative,80533.58,14656.81,364.67,20337.38
"MacAulay, Hon. Lawrence",Cardigan,Liberal,3985.35,0,0,13.53
"MacDonald, Hon. Heath",Malpeque,Liberal,67217.35,28984.88,2325.79,30250.04
"MacDonald,  Kent",Cardigan,Liberal,59057.85,27662.43,2143.39,29843.6
"MacGregor,  Alistair",Cowichan—Malahat—Langford,New Democratic Party,0,0,0,8348.53
"MacKinnon, Hon. Steven",Gatineau,Liberal,55065.3,4367.75,3204.63,32009.27
"Maguire,  Larry",Brandon—Souris,Conservative,420.44,457.89,0,820.13
"Mahal,  Jagsharan Singh",Edmonton Southeast,Conservative,34829.06,2563.77,0,9376.75
"Majumdar,  Shuvaloy",Calgary Heritage,Conservative,88722.75,20425.73,0,37881.53
"Malette,  Chris",Bay of Quinte,Liberal,71410.13,10487.81,382.1,28560.59
"Malette,  Gaétan",Kapuskasing—Timmins—Mushkegowuk,Conservative,78388.63,17384.86,650,25837.89
"Maloney,  James",Etobicoke—Lakeshore,Liberal,74946.96,7030.39,0,27162.1
"Mantle,  Jacob",York—Durham,Conservative,59054,24439.45,1266.21,31723.46
"Martel,  Richard",Chicoutimi—Le Fjord,Conservative,86827.72,7306.05,3436.06,36046.4
"Martinez Ferrada, Hon. Soraya",Hochelaga,Liberal,5044.27,0,0,36.71
"Masse,  Brian",Windsor West,New Democratic Party,10896.28,470.75,0,251.72
"Mathyssen,  Lindsay",London—Fanshawe,New Democratic Party,7187.24,0,0,3210.4
"May,  Bryan",Cambridge,Liberal,9214.24,0,0,1394.35
"May,  Elizabeth",Saanich—Gulf Islands,Green Party,110743.5,8446.39,350,16811.77
